event_id,true_activity_id,template_id
E00172,OIL-A2-ELE-L6-0165,ELE:1:2
E00173,OIL-A2-ELE-L6-0166,ELE:1:1
E00174,OIL-A2-ELE-L6-0173,ELE:2:2
E00175,OIL-A2-ELE-L6-0173,ELE:2:0
E00176,OIL-A2-ELE-L6-0173,ELE:2:2
E00177,OIL-A2-ELE-L6-0177,ELE:3:1
E00178,OIL-A2-ELE-L6-0177,ELE:3:0
E00179,OIL-A2-ELE-L6-0180,ELE:3:0
E00180,OIL-A2-INS-L6-0182,INS:0:0
E00181,OIL-A2-INS-L6-0183,INS:0:1
E00182,OIL-A2-INS-L6-0183,INS:0:2
E00183,OIL-A2-INS-L6-0184,INS:0:1
E00184,OIL-A2-INS-L6-0184,INS:0:1
E00185,OIL-A2-INS-L6-0185,INS:0:2
E00186,OIL-A2-INS-L6-0190,INS:1:2
E00187,OIL-A2-INS-L6-0192,INS:1:0
E00188,OIL-A2-INS-L6-0192,INS:1:2
E00189,OIL-A2-INS-L6-0192,INS:1:2
E00190,OIL-A2-INS-L6-0193,INS:2:2
E00191,OIL-A2-INS-L6-0193,INS:2:0
E00192,OIL-A2-INS-L6-0195,INS:2:1
E00193,OIL-A2-INS-L6-0195,INS:2:1
E00194,OIL-A2-INS-L6-0197,INS:2:0
E00195,OIL-A2-INS-L6-0198,INS:2:1
E00196,OIL-A2-STA-L6-0199,STA:0:2
E00197,OIL-A2-STA-L6-0200,STA:0:0
E00198,OIL-A2-STA-L6-0200,STA:0:0
E00199,OIL-A2-STA-L6-0202,STA:0:2
E00200,OIL-A2-STA-L6-0203,STA:0:1
E00201,OIL-A2-STA-L6-0203,STA:0:0
E00202,OIL-A2-STA-L6-0203,STA:0:1
E00203,OIL-A2-STA-L6-0205,STA:1:1
E00204,OIL-A2-STA-L6-0206,STA:1:1
E00205,OIL-A2-STA-L6-0206,STA:1:1
E00206,OIL-A2-STA-L6-0207,STA:1:1
E00207,OIL-A2-STA-L6-0209,STA:1:1
E00208,OIL-A2-STA-L6-0210,STA:1:0
E00209,OIL-A2-STA-L6-0210,STA:1:1
E00210,OIL-A2-STA-L6-0213,STA:2:0
E00211,OIL-A2-STA-L6-0215,STA:2:0
E00212,OIL-A2-STA-L6-0215,STA:2:2
E00213,OIL-A3-PIP-L6-0217,PIP:0:2
E00214,OIL-A3-PIP-L6-0217,PIP:0:2
E00215,OIL-A3-PIP-L6-0217,PIP:0:2
E00216,OIL-A3-PIP-L6-0218,PIP:0:0
E00217,OIL-A3-PIP-L6-0218,PIP:0:0
E00218,OIL-A3-PIP-L6-0222,PIP:0:2
E00219,OIL-A3-PIP-L6-0222,PIP:0:2
E00220,OIL-A3-PIP-L6-0223,PIP:1:0
E00221,OIL-A3-PIP-L6-0224,PIP:1:2
E00222,OIL-A3-PIP-L6-0225,PIP:1:0
E00223,OIL-A3-PIP-L6-0225,PIP:1:2
E00224,OIL-A3-PIP-L6-0225,PIP:1:2
E00225,OIL-A3-PIP-L6-0226,PIP:1:2
E00226,OIL-A3-PIP-L6-0226,PIP:1:1
E00227,OIL-A3-PIP-L6-0226,PIP:1:1
E00228,OIL-A3-PIP-L6-0231,PIP:2:1
E00229,OIL-A3-PIP-L6-0232,PIP:2:2
E00230,OIL-A3-PIP-L6-0233,PIP:2:1
E00231,OIL-A3-PIP-L6-0234,PIP:2:2
E00232,OIL-A3-PIP-L6-0235,PIP:3:2
E00233,OIL-A3-PIP-L6-0235,PIP:3:2
E00234,OIL-A3-PIP-L6-0236,PIP:3:1
E00235,OIL-A3-PIP-L6-0236,PIP:3:0
E00236,OIL-A3-PIP-L6-0236,PIP:3:0
E00237,OIL-A3-PIP-L6-0238,PIP:3:0
E00238,OIL-A3-PIP-L6-0238,PIP:3:1
E00239,OIL-A3-PIP-L6-0238,PIP:3:2
E00240,OIL-A3-PIP-L6-0239,PIP:3:0
E00241,OIL-A3-CIV-L6-0242,CIV:0:2
E00242,OIL-A3-CIV-L6-0242,CIV:0:1
E00243,OIL-A3-CIV-L6-0242,CIV:0:2
E00244,OIL-A3-CIV-L6-0243,CIV:0:1
E00245,OIL-A3-CIV-L6-0243,CIV:0:2
E00246,OIL-A3-CIV-L6-0243,CIV:0:0
E00247,OIL-A3-CIV-L6-0244,CIV:0:0
E00248,OIL-A3-CIV-L6-0244,CIV:0:1
E00249,OIL-A3-CIV-L6-0244,CIV:0:1
E00250,OIL-A3-CIV-L6-0246,CIV:0:1
E00251,OIL-A3-CIV-L6-0248,CIV:1:2
E00252,OIL-A3-CIV-L6-0249,CIV:1:1
E00253,OIL-A3-CIV-L6-0249,CIV:1:0
E00254,OIL-A3-CIV-L6-0249,CIV:1:2
E00255,OIL-A3-CIV-L6-0251,CIV:1:1
E00256,OIL-A3-CIV-L6-0252,CIV:1:2
E00257,OIL-A3-CIV-L6-0252,CIV:1:2
E00258,OIL-A3-CIV-L6-0253,CIV:2:0
E00259,OIL-A3-CIV-L6-0253,CIV:2:2
E00260,OIL-A3-CIV-L6-0253,CIV:2:2
E00261,OIL-A3-CIV-L6-0254,CIV:2:2
E00262,OIL-A3-CIV-L6-0254,CIV:2:0
E00263,OIL-A3-CIV-L6-0254,CIV:2:0
E00264,OIL-A3-CIV-L6-0256,CIV:2:0
E00265,OIL-A3-CIV-L6-0256,CIV:2:0
E00266,OIL-A3-CIV-L6-0257,CIV:2:0
E00267,OIL-A3-CIV-L6-0257,CIV:2:0
E00268,OIL-A3-CIV-L6-0258,CIV:2:0
E00269,OIL-A3-CIV-L6-0258,CIV:2:0
E00270,OIL-A3-CIV-L6-0260,CIV:3:0
E00271,OIL-A3-CIV-L6-0260,CIV:3:0
E00272,OIL-A3-ELE-L6-0266,ELE:0:0
E00273,OIL-A3-ELE-L6-0267,ELE:0:1
E00274,OIL-A3-ELE-L6-0267,ELE:0:2
E00275,OIL-A3-ELE-L6-0268,ELE:0:1
E00276,OIL-A3-ELE-L6-0269,ELE:0:0
E00277,OIL-A3-ELE-L6-0269,ELE:0:0
E00278,OIL-A3-ELE-L6-0269,ELE:0:0
E00279,OIL-A3-ELE-L6-0270,ELE:0:0
E00280,OIL-A3-ELE-L6-0272,ELE:1:0
E00281,OIL-A3-ELE-L6-0273,ELE:1:0
E00282,OIL-A3-ELE-L6-0273,ELE:1:1
E00283,OIL-A3-ELE-L6-0273,ELE:1:2
E00284,OIL-A3-ELE-L6-0274,ELE:1:0
E00285,OIL-A3-ELE-L6-0276,ELE:1:0
E00286,OIL-A3-ELE-L6-0276,ELE:1:1
E00287,OIL-A3-ELE-L6-0277,ELE:2:1
E00288,OIL-A3-ELE-L6-0279,ELE:2:1
E00289,OIL-A3-ELE-L6-0282,ELE:2:0
E00290,OIL-A3-ELE-L6-0282,ELE:2:2
E00291,OIL-A3-ELE-L6-0285,ELE:3:2
E00292,OIL-A3-ELE-L6-0285,ELE:3:0
E00293,OIL-A3-ELE-L6-0286,ELE:3:1
E00294,OIL-A3-INS-L6-0289,INS:0:1
E00295,OIL-A3-INS-L6-0289,INS:0:0
E00296,OIL-A3-INS-L6-0290,INS:0:0
E00297,OIL-A3-INS-L6-0290,INS:0:0
E00298,OIL-A3-INS-L6-0294,INS:0:0
E00299,OIL-A3-INS-L6-0294,INS:0:2
E00300,OIL-A3-INS-L6-0296,INS:1:0
E00301,OIL-A3-INS-L6-0296,INS:1:2
E00302,OIL-A3-INS-L6-0301,INS:2:0
E00303,OIL-A3-INS-L6-0305,INS:2:2
E00304,OIL-A3-STA-L6-0307,STA:0:1
E00305,OIL-A3-STA-L6-0307,STA:0:0
E00306,OIL-A3-STA-L6-0307,STA:0:0
E00307,OIL-A3-STA-L6-0310,STA:0:1
E00308,OIL-A3-STA-L6-0311,STA:0:0
E00309,OIL-A3-STA-L6-0312,STA:0:1
E00310,OIL-A3-STA-L6-0313,STA:1:0
E00311,OIL-A3-STA-L6-0313,STA:1:2
E00312,OIL-A3-STA-L6-0315,STA:1:1
E00313,OIL-A3-STA-L6-0316,STA:1:1
E00314,OIL-A3-STA-L6-0318,STA:1:2
E00315,OIL-A3-STA-L6-0320,STA:2:2
E00316,OIL-A3-STA-L6-0321,STA:2:2
E00317,OIL-A3-STA-L6-0321,STA:2:2
E00318,OIL-A3-STA-L6-0321,STA:2:1
E00319,OIL-A3-STA-L6-0323,STA:2:2
E00320,OIL-A3-STA-L6-0324,STA:2:1
E00321,OIL-A3-STA-L6-0324,STA:2:2
E00322,OIL-A3-STA-L6-0324,STA:2:0
E00323,,
E00324,,
E00325,,
E00326,,
E00327,,
E00328,,
E00329,,
E00330,,
E00331,,
E00332,,
E00333,,
E00334,,
