activity_id,wbs_path,description,discipline,level,planned_start,planned_finish,planned_qty,uom,tags,predecessors
OIL-A1-CIV-L6-0039,OIL Project > Gas Compression Area > Sec-3 > Civil,Rebar Fixing Foundation FDN-C-0239 (Sec-3),Civil,L6,2026-07-10,2026-07-16,120.0,m3,foundation:FDN-C-0239|equipment:C-0239,OIL-A1-CIV-L6-0038
OIL-A1-CIV-L6-0040,OIL Project > Gas Compression Area > Sec-4 > Civil,Rebar Fixing Foundation FDN-C-0240 (Sec-4),Civil,L5,2026-06-04,2026-06-21,120.0,m3,foundation:FDN-C-0240|equipment:C-0240,OIL-A1-CIV-L6-0039
OIL-A1-CIV-L6-0041,OIL Project > Gas Compression Area > North Bay > Civil,Rebar Fixing Foundation FDN-C-0241 (North Bay),Civil,L6,2026-06-17,2026-06-26,60.0,m3,foundation:FDN-C-0241|equipment:C-0241,OIL-A1-CIV-L6-0040
OIL-A1-CIV-L6-0042,OIL Project > Gas Compression Area > South Bay > Civil,Rebar Fixing Foundation FDN-C-0242 (South Bay),Civil,L6,2026-06-11,2026-06-20,80.0,m3,foundation:FDN-C-0242|equipment:C-0242,OIL-A1-CIV-L6-0041
OIL-A1-CIV-L6-0043,OIL Project > Gas Compression Area > Sec-1 > Civil,Backfill Around FDN-C-0243 (Sec-1),Civil,L5,2026-04-10,2026-04-20,80.0,m3,foundation:FDN-C-0243|equipment:C-0243,OIL-A1-CIV-L6-0042
OIL-A1-CIV-L6-0044,OIL Project > Gas Compression Area > Sec-2 > Civil,Backfill Around FDN-C-0244 (Sec-2),Civil,L6,2026-04-19,2026-04-30,40.0,m3,foundation:FDN-C-0244|equipment:C-0244,OIL-A1-CIV-L6-0043
OIL-A1-CIV-L6-0045,OIL Project > Gas Compression Area > Sec-3 > Civil,Backfill Around FDN-C-0245 (Sec-3),Civil,L6,2026-06-25,2026-07-05,40.0,m3,foundation:FDN-C-0245|equipment:C-0245,OIL-A1-CIV-L6-0044
OIL-A1-CIV-L6-0046,OIL Project > Gas Compression Area > Sec-4 > Civil,Backfill Around FDN-C-0246 (Sec-4),Civil,L5,2026-05-11,2026-05-16,60.0,m3,foundation:FDN-C-0246|equipment:C-0246,OIL-A1-CIV-L6-0045
OIL-A1-CIV-L6-0047,OIL Project > Gas Compression Area > North Bay > Civil,Backfill Around FDN-C-0247 (North Bay),Civil,L6,2026-05-20,2026-06-02,120.0,m3,foundation:FDN-C-0247|equipment:C-0247,OIL-A1-CIV-L6-0046
OIL-A1-CIV-L6-0048,OIL Project > Gas Compression Area > South Bay > Civil,Backfill Around FDN-C-0248 (South Bay),Civil,L6,2026-04-14,2026-04-19,60.0,m3,foundation:FDN-C-0248|equipment:C-0248,OIL-A1-CIV-L6-0047
OIL-A1-ELE-L6-0049,OIL Project > Gas Compression Area > Sec-1 > Electrical,Lay Cable CBL-EL-0449 (Sec-1),Electrical,L5,2026-07-18,2026-07-29,80.0,m,cable:CBL-EL-0449,
OIL-A1-ELE-L6-0050,OIL Project > Gas Compression Area > Sec-2 > Electrical,Lay Cable CBL-EL-0450 (Sec-2),Electrical,L6,2026-07-12,2026-07-20,80.0,m,cable:CBL-EL-0450,OIL-A1-ELE-L6-0049
OIL-A1-ELE-L6-0051,OIL Project > Gas Compression Area > Sec-3 > Electrical,Lay Cable CBL-EL-0451 (Sec-3),Electrical,L6,2026-04-11,2026-04-21,20.0,m,cable:CBL-EL-0451,OIL-A1-ELE-L6-0050
OIL-A1-ELE-L6-0052,OIL Project > Gas Compression Area > Sec-4 > Electrical,Lay Cable CBL-EL-0452 (Sec-4),Electrical,L5,2026-05-24,2026-06-04,120.0,m,cable:CBL-EL-0452,OIL-A1-ELE-L6-0051
OIL-A1-ELE-L6-0053,OIL Project > Gas Compression Area > North Bay > Electrical,Lay Cable CBL-EL-0453 (North Bay),Electrical,L6,2026-04-21,2026-05-02,20.0,m,cable:CBL-EL-0453,OIL-A1-ELE-L6-0052
OIL-A1-ELE-L6-0054,OIL Project > Gas Compression Area > South Bay > Electrical,Lay Cable CBL-EL-0454 (South Bay),Electrical,L6,2026-07-07,2026-07-16,60.0,m,cable:CBL-EL-0454,OIL-A1-ELE-L6-0053
OIL-A1-ELE-L6-0055,OIL Project > Gas Compression Area > Sec-1 > Electrical,Terminate Cable CBL-EL-0455 (Sec-1),Electrical,L5,2026-04-05,2026-04-08,20.0,m,cable:CBL-EL-0455,OIL-A1-ELE-L6-0054
OIL-A1-ELE-L6-0056,OIL Project > Gas Compression Area > Sec-2 > Electrical,Terminate Cable CBL-EL-0456 (Sec-2),Electrical,L6,2026-04-14,2026-04-30,80.0,m,cable:CBL-EL-0456,OIL-A1-ELE-L6-0055
OIL-A1-ELE-L6-0057,OIL Project > Gas Compression Area > Sec-3 > Electrical,Terminate Cable CBL-EL-0457 (Sec-3),Electrical,L6,2026-05-14,2026-05-23,40.0,m,cable:CBL-EL-0457,OIL-A1-ELE-L6-0056
OIL-A1-ELE-L6-0058,OIL Project > Gas Compression Area > Sec-4 > Electrical,Terminate Cable CBL-EL-0458 (Sec-4),Electrical,L5,2026-06-20,2026-07-01,80.0,m,cable:CBL-EL-0458,OIL-A1-ELE-L6-0057
OIL-A1-ELE-L6-0059,OIL Project > Gas Compression Area > North Bay > Electrical,Terminate Cable CBL-EL-0459 (North Bay),Electrical,L6,2026-06-25,2026-07-07,120.0,m,cable:CBL-EL-0459,OIL-A1-ELE-L6-0058
OIL-A1-ELE-L6-0060,OIL Project > Gas Compression Area > South Bay > Electrical,Terminate Cable CBL-EL-0460 (South Bay),Electrical,L6,2026-05-05,2026-05-22,20.0,m,cable:CBL-EL-0460,OIL-A1-ELE-L6-0059
OIL-A1-ELE-L6-0061,OIL Project > Gas Compression Area > Sec-1 > Electrical,Install Cable Tray (Sec-1),Electrical,L5,2026-04-05,2026-04-17,40.0,m,,OIL-A1-ELE-L6-0060
OIL-A1-ELE-L6-0062,OIL Project > Gas Compression Area > Sec-2 > Electrical,Install Cable Tray (Sec-2),Electrical,L6,2026-05-31,2026-06-11,120.0,m,,OIL-A1-ELE-L6-0061
OIL-A1-ELE-L6-0063,OIL Project > Gas Compression Area > Sec-3 > Electrical,Install Cable Tray (Sec-3),Electrical,L6,2026-07-14,2026-07-19,40.0,m,,OIL-A1-ELE-L6-0062
OIL-A1-ELE-L6-0064,OIL Project > Gas Compression Area > Sec-4 > Electrical,Install Cable Tray (Sec-4),Electrical,L5,2026-06-20,2026-06-30,20.0,m,,OIL-A1-ELE-L6-0063
OIL-A1-ELE-L6-0065,OIL Project > Gas Compression Area > North Bay > Electrical,Install Cable Tray (North Bay),Electrical,L6,2026-04-20,2026-05-02,120.0,m,,OIL-A1-ELE-L6-0064
OIL-A1-ELE-L6-0066,OIL Project > Gas Compression Area > South Bay > Electrical,Install Cable Tray (South Bay),Electrical,L6,2026-04-18,2026-04-21,120.0,m,,OIL-A1-ELE-L6-0065
OIL-A1-ELE-L6-0067,OIL Project > Gas Compression Area > Sec-1 > Electrical,Install Transformer P-2467 (Sec-1),Electrical,L5,2026-04-14,2026-04-29,80.0,m,equipment:P-2467,OIL-A1-ELE-L6-0066
OIL-A1-ELE-L6-0068,OIL Project > Gas Compression Area > Sec-2 > Electrical,Install Transformer P-2468B (Sec-2),Electrical,L6,2026-06-02,2026-06-13,20.0,m,equipment:P-2468B,OIL-A1-ELE-L6-0067
OIL-A1-ELE-L6-0069,OIL Project > Gas Compression Area > Sec-3 > Electrical,Install Transformer K-2469B (Sec-3),Electrical,L6,2026-04-09,2026-04-27,60.0,m,equipment:K-2469B,OIL-A1-ELE-L6-0068
OIL-A1-ELE-L6-0070,OIL Project > Gas Compression Area > Sec-4 > Electrical,Install Transformer V-2470B (Sec-4),Electrical,L5,2026-07-04,2026-07-21,80.0,m,equipment:V-2470B,OIL-A1-ELE-L6-0069
OIL-A1-ELE-L6-0071,OIL Project > Gas Compression Area > North Bay > Electrical,Install Transformer T-2471B (North Bay),Electrical,L6,2026-06-18,2026-06-27,20.0,m,equipment:T-2471B,OIL-A1-ELE-L6-0070
OIL-A1-ELE-L6-0072,OIL Project > Gas Compression Area > South Bay > Electrical,Install Transformer E-2472A (South Bay),Electrical,L6,2026-06-12,2026-06-19,20.0,m,equipment:E-2472A,OIL-A1-ELE-L6-0071
OIL-A1-INS-L6-0073,OIL Project > Gas Compression Area > Sec-1 > Instrumentation,Install Instrument Loop LP-IN-0773 (Sec-1),Instrumentation,L5,2026-06-26,2026-07-14,2.0,nos,loop:LP-IN-0773,
OIL-A1-INS-L6-0074,OIL Project > Gas Compression Area > Sec-2 > Instrumentation,Install Instrument Loop LP-IN-0774 (Sec-2),Instrumentation,L6,2026-06-10,2026-06-19,2.0,nos,loop:LP-IN-0774,OIL-A1-INS-L6-0073
OIL-A1-INS-L6-0075,OIL Project > Gas Compression Area > Sec-3 > Instrumentation,Install Instrument Loop LP-IN-0775 (Sec-3),Instrumentation,L6,2026-07-14,2026-07-31,2.0,nos,loop:LP-IN-0775,OIL-A1-INS-L6-0074
OIL-A1-INS-L6-0076,OIL Project > Gas Compression Area > Sec-4 > Instrumentation,Install Instrument Loop LP-IN-0776 (Sec-4),Instrumentation,L5,2026-04-19,2026-04-30,2.0,nos,loop:LP-IN-0776,OIL-A1-INS-L6-0075
OIL-A1-INS-L6-0077,OIL Project > Gas Compression Area > North Bay > Instrumentation,Install Instrument Loop LP-IN-0777 (North Bay),Instrumentation,L6,2026-06-03,2026-06-21,2.0,nos,loop:LP-IN-0777,OIL-A1-INS-L6-0076
OIL-A1-INS-L6-0078,OIL Project > Gas Compression Area > South Bay > Instrumentation,Install Instrument Loop LP-IN-0778 (South Bay),Instrumentation,L6,2026-05-09,2026-05-16,2.0,nos,loop:LP-IN-0778,OIL-A1-INS-L6-0077
OIL-A1-INS-L6-0079,OIL Project > Gas Compression Area > Sec-1 > Instrumentation,Loop Check LP-IN-0779 (Sec-1),Instrumentation,L5,2026-05-12,2026-05-25,2.0,nos,loop:LP-IN-0779,OIL-A1-INS-L6-0078
OIL-A1-INS-L6-0080,OIL Project > Gas Compression Area > Sec-2 > Instrumentation,Loop Check LP-IN-0780 (Sec-2),Instrumentation,L6,2026-05-18,2026-05-23,2.0,nos,loop:LP-IN-0780,OIL-A1-INS-L6-0079
OIL-A1-INS-L6-0081,OIL Project > Gas Compression Area > Sec-3 > Instrumentation,Loop Check LP-IN-0781 (Sec-3),Instrumentation,L6,2026-05-06,2026-05-12,1.0,nos,loop:LP-IN-0781,OIL-A1-INS-L6-0080
OIL-A1-INS-L6-0082,OIL Project > Gas Compression Area > Sec-4 > Instrumentation,Loop Check LP-IN-0782 (Sec-4),Instrumentation,L5,2026-05-11,2026-05-20,2.0,nos,loop:LP-IN-0782,OIL-A1-INS-L6-0081
OIL-A1-INS-L6-0083,OIL Project > Gas Compression Area > North Bay > Instrumentation,Loop Check LP-IN-0783 (North Bay),Instrumentation,L6,2026-07-02,2026-07-07,1.0,nos,loop:LP-IN-0783,OIL-A1-INS-L6-0082
OIL-A1-INS-L6-0084,OIL Project > Gas Compression Area > South Bay > Instrumentation,Loop Check LP-IN-0784 (South Bay),Instrumentation,L6,2026-04-07,2026-04-14,1.0,nos,loop:LP-IN-0784,OIL-A1-INS-L6-0083
OIL-A1-INS-L6-0085,OIL Project > Gas Compression Area > Sec-1 > Instrumentation,Install Impulse Tubing LP-IN-0785 (Sec-1),Instrumentation,L5,2026-07-04,2026-07-15,2.0,nos,loop:LP-IN-0785,OIL-A1-INS-L6-0084
OIL-A1-INS-L6-0086,OIL Project > Gas Compression Area > Sec-2 > Instrumentation,Install Impulse Tubing LP-IN-0786 (Sec-2),Instrumentation,L6,2026-04-22,2026-04-30,1.0,nos,loop:LP-IN-0786,OIL-A1-INS-L6-0085
OIL-A1-INS-L6-0087,OIL Project > Gas Compression Area > Sec-3 > Instrumentation,Install Impulse Tubing LP-IN-0787 (Sec-3),Instrumentation,L6,2026-07-07,2026-07-24,2.0,nos,loop:LP-IN-0787,OIL-A1-INS-L6-0086
OIL-A1-INS-L6-0088,OIL Project > Gas Compression Area > Sec-4 > Instrumentation,Install Impulse Tubing LP-IN-0788 (Sec-4),Instrumentation,L5,2026-06-11,2026-06-16,2.0,nos,loop:LP-IN-0788,OIL-A1-INS-L6-0087
OIL-A1-INS-L6-0089,OIL Project > Gas Compression Area > North Bay > Instrumentation,Install Impulse Tubing LP-IN-0789 (North Bay),Instrumentation,L6,2026-07-05,2026-07-21,2.0,nos,loop:LP-IN-0789,OIL-A1-INS-L6-0088
OIL-A1-INS-L6-0090,OIL Project > Gas Compression Area > South Bay > Instrumentation,Install Impulse Tubing LP-IN-0790 (South Bay),Instrumentation,L6,2026-06-03,2026-06-14,4.0,nos,loop:LP-IN-0790,OIL-A1-INS-L6-0089
OIL-A1-STA-L6-0091,OIL Project > Gas Compression Area > Sec-1 > Static Equipment,Erect Vessel K-2491B (Sec-1),Static Equipment,L5,2026-05-05,2026-05-15,2.0,nos,equipment:K-2491B,
OIL-A1-STA-L6-0092,OIL Project > Gas Compression Area > Sec-2 > Static Equipment,Erect Vessel T-2492A (Sec-2),Static Equipment,L6,2026-04-05,2026-04-21,4.0,nos,equipment:T-2492A,OIL-A1-STA-L6-0091
OIL-A1-STA-L6-0093,OIL Project > Gas Compression Area > Sec-3 > Static Equipment,Erect Vessel P-2493 (Sec-3),Static Equipment,L6,2026-07-19,2026-08-05,2.0,nos,equipment:P-2493,OIL-A1-STA-L6-0092
OIL-A1-STA-L6-0094,OIL Project > Gas Compression Area > Sec-4 > Static Equipment,Erect Vessel V-2494 (Sec-4),Static Equipment,L5,2026-06-27,2026-07-03,4.0,nos,equipment:V-2494,OIL-A1-STA-L6-0093
OIL-A1-STA-L6-0095,OIL Project > Gas Compression Area > North Bay > Static Equipment,Erect Vessel K-2495 (North Bay),Static Equipment,L6,2026-04-30,2026-05-04,4.0,nos,equipment:K-2495,OIL-A1-STA-L6-0094
OIL-A1-STA-L6-0096,OIL Project > Gas Compression Area > South Bay > Static Equipment,Erect Vessel E-2496B (South Bay),Static Equipment,L6,2026-04-13,2026-04-18,2.0,nos,equipment:E-2496B,OIL-A1-STA-L6-0095
OIL-A1-STA-L6-0097,OIL Project > Gas Compression Area > Sec-1 > Static Equipment,Grout Vessel T-2497A (Sec-1),Static Equipment,L5,2026-04-01,2026-04-04,4.0,nos,equipment:T-2497A,OIL-A1-STA-L6-0096
OIL-A1-STA-L6-0098,OIL Project > Gas Compression Area > Sec-2 > Static Equipment,Grout Vessel E-2498A (Sec-2),Static Equipment,L6,2026-06-07,2026-06-17,4.0,nos,equipment:E-2498A,OIL-A1-STA-L6-0097
OIL-A1-STA-L6-0099,OIL Project > Gas Compression Area > Sec-3 > Static Equipment,Grout Vessel T-2499B (Sec-3),Static Equipment,L6,2026-04-03,2026-04-12,2.0,nos,equipment:T-2499B,OIL-A1-STA-L6-0098
OIL-A1-STA-L6-0100,OIL Project > Gas Compression Area > Sec-4 > Static Equipment,Grout Vessel E-2500 (Sec-4),Static Equipment,L5,2026-04-30,2026-05-18,1.0,nos,equipment:E-2500,OIL-A1-STA-L6-0099
OIL-A1-STA-L6-0101,OIL Project > Gas Compression Area > North Bay > Static Equipment,Grout Vessel E-2501B (North Bay),Static Equipment,L6,2026-04-01,2026-04-13,4.0,nos,equipment:E-2501B,OIL-A1-STA-L6-0100
OIL-A1-STA-L6-0102,OIL Project > Gas Compression Area > South Bay > Static Equipment,Grout Vessel V-2502A (South Bay),Static Equipment,L6,2026-07-08,2026-07-17,1.0,nos,equipment:V-2502A,OIL-A1-STA-L6-0101
OIL-A1-STA-L6-0103,OIL Project > Gas Compression Area > Sec-1 > Static Equipment,Align Exchanger E-2503A (Sec-1),Static Equipment,L5,2026-06-03,2026-06-11,1.0,nos,equipment:E-2503A,OIL-A1-STA-L6-0102
OIL-A1-STA-L6-0104,OIL Project > Gas Compression Area > Sec-2 > Static Equipment,Align Exchanger P-2504B (Sec-2),Static Equipment,L6,2026-04-07,2026-04-16,1.0,nos,equipment:P-2504B,OIL-A1-STA-L6-0103
OIL-A1-STA-L6-0105,OIL Project > Gas Compression Area > Sec-3 > Static Equipment,Align Exchanger T-2505 (Sec-3),Static Equipment,L6,2026-05-21,2026-06-07,4.0,nos,equipment:T-2505,OIL-A1-STA-L6-0104
OIL-A1-STA-L6-0106,OIL Project > Gas Compression Area > Sec-4 > Static Equipment,Align Exchanger P-2506 (Sec-4),Static Equipment,L5,2026-04-24,2026-05-11,1.0,nos,equipment:P-2506,OIL-A1-STA-L6-0105
OIL-A1-STA-L6-0107,OIL Project > Gas Compression Area > North Bay > Static Equipment,Align Exchanger E-2507A (North Bay),Static Equipment,L6,2026-04-14,2026-04-17,1.0,nos,equipment:E-2507A,OIL-A1-STA-L6-0106
OIL-A1-STA-L6-0108,OIL Project > Gas Compression Area > South Bay > Static Equipment,Align Exchanger E-2508A (South Bay),Static Equipment,L6,2026-07-07,2026-07-16,2.0,nos,equipment:E-2508A,OIL-A1-STA-L6-0107
OIL-A2-PIP-L6-0109,OIL Project > Crude Gathering Station > Sec-1 > Piping,"Erect Line 12""-FG-1109 Spools (Sec-1)",Piping,L5,2026-04-26,2026-05-10,120.0,m,"line:12""-FG-1109",
OIL-A2-PIP-L6-0110,OIL Project > Crude Gathering Station > Sec-2 > Piping,"Erect Line 16""-CW-1110 Spools (Sec-2)",Piping,L6,2026-06-20,2026-07-06,40.0,m,"line:16""-CW-1110",OIL-A2-PIP-L6-0109
OIL-A2-PIP-L6-0111,OIL Project > Crude Gathering Station > Sec-3 > Piping,"Erect Line 16""-PG-1111 Spools (Sec-3)",Piping,L6,2026-07-12,2026-07-16,60.0,m,"line:16""-PG-1111",OIL-A2-PIP-L6-0110
OIL-A2-PIP-L6-0112,OIL Project > Crude Gathering Station > Sec-4 > Piping,"Erect Line 8""-PG-1112 Spools (Sec-4)",Piping,L5,2026-05-13,2026-05-17,60.0,m,"line:8""-PG-1112",OIL-A2-PIP-L6-0111
